[00:00.00]  There
[06:59.34]  on
[06:59.52]  water,
[07:00.20]  you
[07:00.38]  drink
[07:00.60]  your
[07:00.82]  way
[07:00.96]  out.
[07:02.08]  Three
[07:02.28]  things,
[07:03.12]  one
[07:03.40]  antioxidant
[07:04.12]  bodyguard,
[07:05.14]  one
[07:05.44]  anti
[07:05.68] -inflammatory,
[07:06.70]  one
[07:06.96]  glass
[07:07.16]  of
[07:07.40]  water
[07:07.70]  at
[07:07.90]  the
[07:08.08]  right
[07:08.26]  minute,
[07:09.00]  two
[07:09.20]  dollars
[07:09.46]  a
[07:09.68]  week.
[07:10.10]  And
[07:10.30]  let
[07:10.44]  me
[07:10.56]  give
[07:10.70]  you
[07:10.90]  one
[07:11.10]  picture
[07:11.54]  that'll
[07:11.98]  make
[07:12.12]  the
[07:12.42]  antioxidant
[07:13.04]  part
[07:13.24]  stick,
[07:13.94]  because
[07:14.24]  people
[07:14.62]  wave
[07:14.82]  it
[07:15.02]  off
[07:15.20]  as
[07:15.36]  a
[07:15.54]  buzzword.
[07:16.62]  Cut
[07:16.84]  an
[07:17.10]  apple
[07:17.22]  in
[07:17.50]  half
[07:17.66]  and
[07:17.92]  leave
[07:18.10]  it
[07:18.26]  on
[07:18.36]  the
[07:18.54]  counter.
[07:18.90]  In
[07:19.52]  20
[07:19.92]  minutes
[07:20.24]  the
[07:20.56]  cut
[07:20.76]  face
[07:20.96]  goes
[07:21.26]  brown,
[07:21.84]  yes?
[07:22.66]  That
[07:22.98]  browning
[07:23.44]  is
[07:23.62]  oxidation,
[07:24.68]  that's
[07:25.04]  oxygen
[07:25.38]  slowly
[07:25.84]  damaging
[07:26.24]  the
[07:26.52]  flesh.
[07:27.48]  Now
[07:27.74]  squeeze
[07:28.04]  a
[07:28.14]  little
[07:28.38]  lemon
[07:28.64]  on
[07:28.80]  the
[07:29.00]  other
[07:29.16]  half
[07:29.42]  and
[07:29.70]  it
[07:29.92]  stays
[07:30.08]  pale
[07:30.44]  and
[07:30.76]  fresh
[07:30.90]  for
[07:31.20]  hours.
[07:32.24]  That
[07:32.46]  lemon
[07:32.78]  is
[07:33.04]  an
[07:33.26]  antioxidant,
[07:34.12]  holding
[07:34.42]  the
[07:34.68]  damage
[07:34.88]  off.
[07:35.76]  Your
[07:36.02]  collagen,
[07:36.84]  the
[07:37.02]  firm
[07:37.22]  scaffolding
[07:37.84]  under
[07:38.12]  your
[07:38.42]  skin,
[07:39.06]  it's
[07:39.40]  browning
[07:39.84]  too,
[07:40.54]  slowly,
[07:41.00]  over
[07:41.38]  years,
[07:42.00]  from
[07:42.24]  sun
[07:42.58]  and
[07:42.86]  pollution
[07:43.24]  and
[07:43.62]  stress
[07:43.94]  and
[07:44.30]  oxygen
[07:44.66]  itself.
[07:45.98]  Carnosic
[07:46.50]  acid
[07:46.70]  is
[07:46.86]  the
[07:47.06]  lemon,
[07:47.68]  but
[07:47.90]  working
[07:48.20]  from
[07:48.44]  the
[07:48.74]  inside,
[07:49.36]  arriving
[07:49.66]  through
[07:49.94]  the
[07:50.16]  blood.
[07:50.88]  It
[07:51.04]  does
[07:51.30]  not
[07:51.48]  build
[07:51.72]  you
[07:52.02]  brand
[07:52.20]  new
[07:52.46]  scaffolding,
[07:53.44]  nothing
[07:53.76]  you
[07:54.00]  drink
[07:54.20]  does.
[07:54.98]  It
[07:55.24]  stops
[07:55.52]  the
[07:55.78]  scaffolding
[07:56.28]  you
[07:56.42]  already
[07:56.86]  have
[07:57.10]  from
[07:57.36]  rusting
[07:57.68]  out
[07:57.94]  so
[07:58.26]  fast,
[07:58.94]  so
[07:59.12]  your
[07:59.34]  skin
[07:59.58]  finally
[08:00.02]  gets
[08:00.26]  a
[08:00.44]  chance
[08:00.64]  to
[08:00.86]  catch
[08:01.06]  up
[08:01.18]  on
[08:01.46]  repair
[08:01.72]  instead
[08:02.34]  of
[08:02.58]  forever
[08:02.90]  falling
[08:03.20]  behind.
[08:04.38]  That's
[08:04.58]  not
[08:04.78]  a
[08:04.90]  small
[08:05.14]  thing,
[08:05.84]  honestly
[08:06.28]  that's
[08:06.60]  most
[08:06.84]  of
[08:07.00]  the
[08:07.16]  game
[08:07.30]  after
[08:07.64]  60.
[08:08.14]  Now
[08:08.52]  the
[08:08.92]  hour.
[08:09.50]  This
[08:09.74]  is
[08:09.98]  close
[08:10.16]  to
[08:10.36]  the
[08:10.52]  signature
[08:10.90]  of
[08:11.16]  everything
[08:11.54]  I
[08:11.78]  teach,
[08:12.24]  so
[08:12.50]  stay
[08:12.72]  right
[08:13.02]  here
[08:13.16]  with
[08:13.32]  me.
[08:13.58]  Why
[08:14.04]  the
[08:14.26]  morning?
[08:14.84]  Why
[08:15.14]  first
[08:15.48]  thing
[08:15.68]  before
[08:16.00]  your
[08:16.22]  coffee
[08:16.56]  and
[08:16.98]  not
[08:17.22]  just,
[08:17.54]  you
[08:17.66]  know,
[08:17.98]  whenever
[08:18.30]  you
[08:18.54]  remember
[08:18.88]  during
[08:19.14]  the
[08:19.34]  day?
[08:19.62]  Because
[08:19.86]  your
[08:20.14]  body
[08:20.30]  has
[08:20.62]  a
[08:20.78]  clock,
[08:21.38]  and
[08:21.56]  the
[08:21.78]  morning
[08:22.14]  has
[08:22.44]  a
[08:22.70]  very
[08:22.98]  specific
[08:23.46]  problem.
[08:24.44]  All
[08:24.64]  night
[08:24.92]  long
[08:25.18]  your
[08:25.42]  skin
[08:25.68]  loses
[08:26.06]  water,
[08:26.80]  there's
[08:27.02]  a
[08:27.18]  real
[08:27.40]  turn
[08:27.62]  for
[08:27.86]  it,
[08:28.54]  transepidermal
[08:29.38]  water
[08:29.68]  loss,
[08:30.44]  your
[08:30.62]  skin
[08:30.96]  quietly
[08:31.50]  evaporating
[08:32.12]  into
[08:32.44]  the
[08:32.64]  dark
[08:32.84]  bedroom
[08:33.18]  for
[08:33.50]  7
[08:33.84] -8
[08:34.20]  hours
[08:34.56]  while
[08:34.76]  you
[08:35.00]  sleep.
[08:35.82]  So
[08:36.02]  you
[08:36.24]  wake
[08:36.50]  up
[08:36.68]  at
[08:36.88]  your
[08:37.08]  single
[08:37.42]  most
[08:37.78]  dehydrated
[08:38.40]  point
[08:38.74]  of
[08:38.94]  the
[08:39.12]  entire
[08:39.40]  day.
[08:40.18]  Your
[08:40.46]  blood
[08:40.68]  is
[08:40.98]  thicker,
[08:41.54]  your
[08:41.68]  tissues
[08:41.92]  are
[08:42.26]  drier,
[08:43.00]  everything's
[08:43.42]  running
[08:43.72]  a
[08:43.96]  quart
[08:44.14]  low.
[08:45.06]  That
[08:45.20]  is
[08:45.44]  the
[08:45.50]  exact
[08:45.90]  window
[08:46.30]  where
[08:46.58]  a
[08:46.68]  glass
[08:46.88]  of
[08:47.08]  water
[08:47.40]  carrying
[08:47.80]  antioxidants
[08:48.48]  does
[08:49.14]  its
[08:49.48]  absolute
[08:49.96]  best
[08:50.26]  work,
[08:50.94]  because
[08:51.22]  your
[08:51.44]  body
[08:51.72]  is
[08:52.04]  thirsty
[08:52.32]  enough
[08:52.58]  to
[08:52.78]  grab
[08:53.04]  every
[08:53.42]  bit
[08:53.60]  of
[08:53.78]  it
[08:54.04]  and
[08:54.40]  rush
[08:54.62]  it
[08:54.82]  out
[08:55.00]  to
[08:55.12]  where
[08:55.24]  it's
[08:55.50]  needed,
[08:56.28]  skin
[08:56.48]  included.
[08:57.58]  Drink
[08:57.86]  it
[08:58.12]  then,
[08:58.38]  on
[08:58.62]  a
[08:58.70]  mostly
[08:59.10]  empty
[08:59.38]  stomach,
[09:00.26]  and
[09:00.32]  it's
[09:00.62]  absorbed
[09:00.92]  fast
[09:01.30]  and
[09:01.62]  clean.
[09:02.52]  Wait
[09:02.78]  until
[09:03.02]  after
[09:03.34]  the
[09:03.58]  coffee
[09:03.76]  and
[09:03.96]  the
[09:04.16]  toast
[09:04.36]  and
[09:04.58]  it's
[09:04.76]  just…
[09:05.58]  one
[09:05.96]  more
[09:06.26]  thing
[09:06.42]  in
[09:06.60]  a
[09:06.74]  full
[09:06.92]  stomach,
[09:07.68]  competing.
[09:08.60]  First
[09:08.98]  thing,
[09:09.46]  empty,
[09:10.00]  before
[09:10.32]  coffee,
[09:10.98]  that's
[09:11.18]  the
[09:11.40]  hour.
[09:12.08]  You're
[09:12.42]  feeding
[09:12.62]  the
[09:12.90]  skin
[09:13.08]  at
[09:13.34]  the
[09:13.58]  precise
[09:13.92]  minute
[09:14.26]  it's
[09:14.66]  begging.
[09:15.22]  And
[09:15.38]  that,
[09:16.02]  the
[09:16.22]  fact
[09:16.36]  that
[09:16.62]  your
[09:16.86]  skin
[09:17.04]  is
[09:17.48]  starved
[09:17.88]  and
[09:18.20]  thirsty
[09:18.62]  every
[09:19.06]  single
[09:19.46]  morning,
[09:20.18]  is
[09:20.40]  exactly
[09:20.80]  what
[09:21.02]  let
[09:21.26]  a
[09:21.50]  whole
[09:21.78]  industry
[09:22.28]  build
[09:22.66]  a
[09:22.98]  fortune.
[09:23.98]  I've
[09:24.14]  got
[09:24.26]  a
[09:24.42]  small
[09:24.68]  problem
[09:25.10]  with.
[09:26.16]  Walk
[09:26.40]  the
[09:26.68]  aisle.
[09:27.80]  Collagen
[09:28.18]  Beauty
[09:28.46]  Water,
[09:29.64]  Antioxidant
[09:30.20]  Hydration
[09:30.72]  Elixir,
[09:31.84]  Marine
[09:32.26]  Glow
[09:32.60]  Drink,
[09:33.66]  Little
[09:33.90]  Bottles,
[09:34.46]  30,
[09:35.26]  40,
[09:36.02]  60
[09:36.36]  dollars
[09:36.86]  and…
[09:37.48]  I'll
[09:37.80]  be
[09:37.90]  careful
[09:38.22]  here,
[09:38.86]  I
[09:39.06]  only
[09:39.36]  mean
[09:39.52]  this
[09:39.82]  commercially,
[09:40.62]  never
[09:41.00]  medically.
[09:42.00]  A
[09:42.18]  lot
[09:42.36]  of
[09:42.52]  what's
[09:42.76]  in
[09:42.82]  that
[09:43.08]  pretty
[09:43.24]  bottle
[09:43.64]  is
[09:43.98]  water,
[09:45.02]  a
[09:45.18]  pinch
[09:45.34]  of
[09:45.56]  something,
[09:46.32]  sugar
[09:46.80]  and
[09:47.22]  a
[09:47.48]  story.
[09:48.44]  They
[09:48.64]  found
[09:48.94]  out
[09:49.16]  your
[09:49.34]  skin
[09:49.52]  is
[09:49.82]  thirsty
[09:50.20]  and
[09:50.48]  under
[09:50.72]  supplied,
[09:51.56]  same
[09:51.80]  as
[09:51.98]  I
[09:52.08]  just
[09:52.38]  told
[09:52.54]  you,
[09:53.02]  and
[09:53.16]  instead
[09:53.40]  of
[09:53.64]  telling
[09:53.84]  you
[09:54.04]  it's
[09:54.28]  2
[09:54.48]  dollars
[09:54.72]  of
[09:54.90]  an
[09:55.16]  herb
[09:55.32]  and
[09:55.56]  a
[09:55.66]  glass
[09:55.82]  of
[09:56.06]  tap
[09:56.14]  water,
[09:56.86]  they
[09:57.18]  bottled
[09:57.44]  the
[09:57.62]  idea
[09:57.98]  and
[09:58.22]  sold
[09:58.46]  it
[09:58.70]  back
[09:58.82]  to
[09:59.04]  you
[09:59.30]  at
[09:59.48]  a
[09:59.62]  markup.
[10:00.60]  That's
[10:00.98]  not
[10:01.18]  a
[10:01.28]  conspiracy,
[10:02.30]  nobody's
[10:02.72]  hiding
[10:02.96]  in
[10:03.10]  a
[10:03.26]  room.
[10:03.44]  It's
[10:04.10]  just
[10:04.34]  very,
[10:04.80]  very
[10:05.14]  good
[10:05.34]  marketing
[10:05.80]  that
[10:06.32]  quietly
[10:06.76]  costs
[10:07.04]  you
[10:07.32]  hundreds
[10:07.62]  of
[10:07.86]  dollars
[10:08.06]  a
[10:08.30]  year
[10:08.56]  for
[10:08.92]  something
[10:09.32]  the
[10:09.62]  plant
[10:09.86]  does
[10:10.20]  for
[10:10.50]  free.
[10:10.82]  Ok,
[10:11.24]  how
[10:11.48]  you
[10:11.68]  actually
[10:12.10]  make
[10:12.38]  it,
[10:12.64]  and
[10:12.80]  there
[10:12.92]  are
[10:13.10]  really
[10:13.42]  only
[10:13.76]  3
[10:13.96]  things
[10:14.18]  that
[10:14.44]  matter,
[10:14.74]  and
[10:14.82]  I'll
[10:14.98]  give
[10:15.12]  you
[10:15.24]  the
[10:15.38]  reason
[10:15.62]  for
[10:15.86]  each,
[10:16.40]  because
[10:16.66]  the
[10:16.90]  reasons
[10:17.14]  are
[10:17.34]  where
[10:17.44]  people
[10:17.74]  go
[10:17.96]  wrong.
[10:18.90]  Thing
[10:19.02]  1,
[10:19.84]  fresh
[10:19.98]  sprigs
[10:20.32]  if
[10:20.50]  you
[10:20.60]  can
[10:20.80]  get
[10:20.94]  them,
[10:21.48]  the
[10:21.68]  dry
[10:21.90]  jarred
[10:22.26]  kind
[10:22.38]  is
[10:22.58]  completely
[10:23.12]  fine
[10:23.34]  if
[10:23.46]  you
[10:23.66]  can't.
[10:24.28]  A
[10:24.58]  small
[10:24.76]  handful,
[10:25.30]  I'm
[10:25.50]  being
[10:25.76]  loose
[10:25.98]  on
[10:26.14]  the
[10:26.32]  amount
[10:26.50]  here
[10:26.76]  on
[10:26.96]  purpose,
[10:27.66]  the
[10:27.88]  exact
[10:28.18]  measure
[10:28.50]  is
[10:28.68]  on
[10:28.82]  the
[10:29.02]  card
[10:29.16]  in
[10:29.34]  the
[10:29.44]  description,
[10:30.26]  into
[10:30.48]  your
[10:30.74]  cup.
[10:31.57]  Why
[10:31.80]  fresh
[10:32.10]  or
[10:32.38]  dry
[10:32.52]  both
[10:32.84]  fine?
[10:33.48]  Because
[10:33.72]  the
[10:33.96]  compounds
[10:34.26]  we
[10:34.54]  want
[10:34.66]  survive
[10:35.08]  drying
[10:35.38]  just
[10:35.74]  fine,
[10:36.26]  this
[10:36.50]  is
[10:36.64]  not
[10:36.82]  one
[10:37.04]  of
[10:37.08]  those
[10:37.34]  herbs
[10:37.60]  where
[10:37.94]  dried
[10:38.12]  is
[10:38.32]  worthless,
[10:39.18]  so
[10:39.40]  don't
[10:39.66]  let
[10:39.86]  I
[10:40.16]  only
[10:40.40]  have
[10:40.56]  the
[10:40.78]  jar
[10:40.92]  stop
[10:41.22]  you,
[10:41.72]  the
[10:41.90]  jar
[10:42.10]  works.
[10:42.86]  Thing
[10:43.08]  2,
[10:43.70]  and
[10:43.78]  write
[10:44.00]  this
[10:44.16]  down,
[10:44.68]  or
[10:44.84]  better,
[10:45.28]  it's
[10:45.40]  on
[10:45.56]  the
[10:45.76]  card,
[10:46.36]  the
[10:46.56]  water
[10:46.90]  must
[10:47.16]  be
[10:47.40]  hot,
[10:48.04]  but
[10:48.22]  it
[10:48.34]  must
[10:48.64]  not
[10:48.88]  be
[10:49.08]  boiling.
[10:49.92]  This
[10:50.22]  is
[10:50.40]  the
[10:50.60]  whole
[10:50.80]  game,
[10:51.26]  and
[10:51.38]  it's
[10:51.60]  the
[10:51.76]  part
[10:51.94]  everybody
[10:52.44]  gets
[10:52.74]  backwards,
[10:53.52]  so
[10:53.74]  let
[10:53.90]  me
[10:54.04]  be
[10:54.16]  very
[10:54.48]  clear,
[10:55.16]  you
[10:55.36]  bring
[10:55.58]  the
[10:55.78]  water
[10:56.04]  to
[10:56.24]  a
[10:56.42]  boil,
[10:57.10]  and
[10:57.24]  then
[10:57.36]  you
[10:57.56]  take
[10:57.68]  it
[10:57.96]  off
[10:58.18]  the
[10:58.38]  heat
[10:58.60]  and
[10:58.98]  let
[10:59.14]  it
[10:59.38]  settle
[10:59.56]  for
[10:59.76]  a
[10:59.80]  minute,
[11:00.62]  and
[11:00.76]  then
[11:01.02]  you
[11:01.28]  pour
[11:01.42]  it
[11:01.58]  over
[11:01.80]  the
[11:02.02]  rosemary
[11:02.46]  and
[11:02.92]  let
[11:03.12]  it
[11:03.40]  steep,
[11:04.00]  covered,
[11:04.70]  for
[11:04.88]  about
[11:05.20]  5
[11:05.50]  to
[11:05.58]  10
[11:05.78]  minutes,
[11:06.70]  off
[11:06.84]  the
[11:07.08]  boil,
[11:07.98]  steep,
[11:08.70]  covered,
[11:09.32]  like
[11:09.52]  a
[11:09.74]  tea
[11:09.84]  you're
[11:10.02]  being
[11:10.28]  gentle
[11:10.60]  with,
[11:11.36]  then
[11:11.62]  strain
[11:11.88]  it
[11:12.26]  and
[11:12.36]  let
[11:12.50]  it
[11:12.74]  cool
[11:12.86]  to
[11:13.08]  something
[11:13.34]  you
[11:13.52]  can
[11:13.84]  comfortably
[11:14.22]  drink,
[11:15.00]  warm,
[11:15.68]  not
[11:15.84]  scalding.
[11:17.00]  Thing
[11:17.14]  3,
[11:17.98]  drink
[11:18.20]  it
[11:18.42]  first,
[11:19.04]  before
[11:19.32]  the
[11:19.56]  coffee,
[11:20.08]  before
[11:20.38]  the
[11:20.62]  food,
[11:21.32]  that's
[11:21.66]  the
[11:21.82]  hour
[11:21.98]  we
[11:22.14]  just
[11:22.38]  talked
[11:22.62]  about,
[11:23.32]  one
[11:23.58]  glass,
[11:24.36]  not
[11:24.58]  a
[11:24.74]  gallon,
[11:25.40]  one
[11:25.74]  honest
[11:26.02]  glass,
[11:26.78]  most
[11:27.08]  mornings,
[11:28.00]  more
[11:28.30]  is
[11:28.56]  not
[11:28.74]  better
[11:29.40]  and
[11:29.62]  I'll
[11:29.82]  tell
[11:30.04]  you
[11:30.18]  in
[11:30.28]  a
[11:30.42]  minute
[11:30.60]  why
[11:30.82]  more
[11:31.12]  is
[11:31.38]  actually
[11:31.80]  worse.
[11:32.30]  And
[11:32.44]  let
[11:32.60]  me
[11:32.74]  answer
[11:32.98]  the
[11:33.16]  question
[11:33.52]  some
[11:33.72]  of
[11:33.88]  you
[11:33.98]  are
[11:34.14]  having,
[11:34.70]  which
[11:34.78]  is,
[11:35.44]  ok,
[11:35.98]  but
[11:36.08]  why
[11:36.32]  does
[11:36.52]  drinking
[11:36.84]  it
[11:37.12]  help
[11:37.40]  the
[11:37.62]  face
[11:37.84]  and
[11:38.04]  the
[11:38.20]  hands
[11:38.40]  specifically,
[11:39.44]  why
[11:39.62]  those,
[11:40.12]  why
[11:40.44]  do
[11:40.60]  those
[11:40.86]  age
[11:41.16]  first?
[11:41.96]  Two
[11:42.24]  simple
[11:42.56]  reasons,
[11:43.48]  the
[11:43.62]  skin
[11:43.82]  on
[11:43.98]  your
[11:44.20]  face
[11:44.44]  and
[11:44.62]  the
[11:44.78]  backs
[11:44.94]  of
[11:45.14]  your
[11:45.32]  hands
[11:45.62]  is
[11:46.06]  the
[11:46.26]  thinnest
[11:46.68]  skin
[11:46.94]  on
[11:47.16]  your
[11:47.40]  whole
[11:47.60]  body,
[11:48.12]  and
[11:48.40]  it's
[11:48.60]  the
[11:48.80]  skin
[11:48.98]  that
[11:49.28]  never
[11:49.72]  ever
[11:50.10]  gets
[11:50.30]  to
[11:50.58]  hide,
[11:51.12]  it's
[11:51.40]  out
[11:51.58]  in
[11:51.76]  the
[11:51.90]  sun
[11:52.12]  and
[11:52.38]  the
[11:52.56]  wind
[11:52.78]  and
[11:53.06]  the
[11:53.22]  cold
[11:53.46]  every
[11:53.94]  single
[11:54.28]  day
[11:54.40]  of
[11:54.56]  your
[11:54.76]  life,
[11:55.36]  while
[11:55.58]  the
[11:55.82]  skin
[11:55.94]  on
[11:56.14]  your
[11:56.34]  shoulder
[11:56.68]  sits
[11:56.90]  protected
[11:57.46]  under
[11:57.78]  a
[11:58.04]  shirt
[11:58.30]  looking
[11:58.88]  20
[11:59.30]  years
[11:59.60]  younger,
[12:00.68]  thin
[12:00.96]  plus
[12:01.40]  exposed
[12:01.94]  plus
[12:02.42]  the
[12:02.66]  least
[12:02.90]  blood
[12:03.24]  flow
[12:03.36]  to
[12:03.62]  spare
[12:03.80]  when
[12:04.00]  your
[12:04.24]  body
[12:04.40]  is
[12:04.64]  rationing,
[12:05.42]  so
[12:05.58]  they're
[12:05.78]  first
[12:06.00]  to
[12:06.18]  show
[12:06.40]  it
[12:06.80]  and
[12:06.96]  they're
[12:07.14]  also
[12:07.40]  the
[12:07.60]  first
[12:07.74]  to
[12:07.98]  respond
[12:08.36]  when
[12:08.76]  you
[12:09.00]  finally
[12:09.34]  start
[12:09.60]  supplying
[12:09.96]  them
[12:10.22]  properly
[12:10.64]  from
[12:10.92]  the
[12:11.12]  inside.
[12:11.92]  They've
[12:12.14]  just
[12:12.36]  been
[12:12.58]  starving
[12:12.92]  in
[12:13.24]  plain
[12:13.50]  sight
[12:13.76]  at
[12:14.06]  the
[12:14.28]  far
[12:14.44]  end
[12:14.60]  of
[12:14.76]  the
[12:14.90]  line,
[12:15.40]  and
[12:15.56]  one
[12:15.80]  more
[12:16.02]  reason
[12:16.44]  to
[12:16.80]  start
[12:17.08]  this
[12:17.30]  now,
[12:18.12]  this
[12:18.34]  week
[12:18.66]  and
[12:19.00]  not
[12:19.30]  someday
[12:19.60]  when
[12:19.80]  I
[12:20.06]  remember,
[12:20.92]  your
[12:21.14]  skin
[12:21.40]  repairs
[12:21.86]  and
[12:22.18]  holds
[12:23.76]  efficiently
[12:24.20]  every
[12:24.64]  year
[12:24.86]  that
[12:25.08]  passes,
[12:25.82]  which
[12:26.10]  means
[12:26.44]  the
[12:26.68]  sooner
[12:26.98]  you
[12:27.16]  start
[12:27.44]  protecting
[12:27.88]  and
[12:28.10]  supplying
[12:28.48]  what
[12:28.68]  you've
[12:28.98]  got,
[12:29.52]  the
[12:29.72]  more
[12:29.94]  of
[12:30.12]  it
[12:30.28]  you'll
[12:30.50]  still
[12:30.72]  have
[12:30.94]  to
[12:31.12]  protect.
[12:32.06]  The
[12:32.10]  best
[12:32.38]  morning
[12:32.68]  to
[12:32.84]  have
[12:33.04]  started
[12:33.28]  this
[12:33.54]  was
[12:33.76]  years
[12:34.06]  ago,
[12:34.72]  the
[12:34.92]  second
[12:35.22]  best
[12:35.44]  is
[12:35.64]  tomorrow
[12:36.00]  morning,
[12:36.64]  I'm
[12:36.98]  not
[12:37.18]  saying
[12:37.38]  that
[12:37.58]  to
[12:37.74]  rush
[12:37.92]  you,
[12:38.40]  there
[12:38.56]  is
[12:38.74]  nothing
[12:38.98]  to
[12:39.22]  buy,
[12:39.80]  the
[12:39.96]  whole
[12:40.18]  point
[12:40.40]  is
[12:40.58]  that
[12:40.72]  it's
[12:40.92]  cheap,
[12:41.66]  I'm
[12:41.88]  saying
[12:42.10]  it
[12:42.32]  because
[12:42.52]  I
[12:42.68]  have
[12:42.88]  watched
[12:43.08]  too
[12:43.40]  many
[12:43.66]  kind
[12:43.84]  people
[12:44.20]  wait
[12:44.46]  for
[12:44.68]  the
[12:44.86]  right
[12:45.12]  time
[12:45.34]  to
[12:45.50]  be
[12:45.66]  good
[12:45.84]  to
[12:46.00]  themselves,
[12:46.88]  and
[12:47.02]  the
[12:47.16]  right
[12:47.38]  time
[12:47.56]  was
[12:47.80]  always
[12:48.16]  just
[12:48.50]  now.
[12:49.42]  Now
[12:49.92]  let
[12:50.18]  me
[12:50.36]  be
[12:50.48]  the
[12:50.76]  honest
[12:50.96]  doctor
[12:51.28]  for
[12:51.52]  a
[12:51.66]  minute,
[12:52.44]  because
[12:52.58]  you
[12:52.76]  should
[12:52.96]  be
[12:53.20]  deeply
[12:53.56]  suspicious
[12:54.12]  of
[12:54.54]  anyone
[12:55.00]  in
[12:55.14]  my
[12:55.36]  position
[12:55.86]  who
[12:56.36]  isn't.
[12:57.26]  Here's
[12:57.60]  what
[12:57.80]  rosemary
[12:58.26]  water
[12:58.62]  will
[12:58.98]  not
[12:59.18]  do,
[12:59.82]  it
[13:00.00]  will
[13:00.24]  not
[13:00.42]  erase
[13:00.72]  a
[13:00.98]  deep
[13:01.12]  wrinkle
[13:01.54]  or
[13:01.80]  delete
[13:02.16]  a
[13:02.34]  dark
[13:02.56]  spot,
[13:03.38]  it
[13:03.58]  supports
[13:04.06]  and
[13:04.40]  it
[13:04.68]  softens
[13:05.06]  and
[13:05.28]  it
[13:05.60]  evens,
[13:06.20]  it
[13:06.38]  does
[13:06.60]  not
[13:06.80]  perform
[13:07.14]  magic,
[13:07.88]  and
[13:08.08]  if
[13:08.32]  anyone
[13:08.66]  tells
[13:08.96]  you
[13:09.20]  a
[13:09.36]  drink
[13:09.54]  dissolved
[13:09.96]  their
[13:10.20]  wrinkles,
[13:10.88]  they
[13:11.02]  are
[13:11.24]  selling
[13:11.46]  you
[13:11.76]  the
[13:11.86]  next
[13:12.12]  drink.
[13:12.76]  It
[13:13.02]  is
[13:13.22]  not
[13:13.46]  a
[13:13.66]  detox,
[13:14.46]  I
[13:14.68]  don't
[13:14.86]  use
[13:15.10]  that
[13:15.38]  word,
[13:16.02]  your
[13:16.24]  liver
[13:16.52]  and
[13:16.78]  kidneys
[13:17.06]  detox
[13:17.58]  you
[13:17.78]  for
[13:18.04]  free
[13:18.26]  and
[13:18.64]  they're
[13:18.84]  very
[13:19.20]  good
[13:19.34]  at
[13:19.48]  it,
[13:19.80]  you
[13:20.02]  don't
[13:20.24]  need
[13:20.44]  a
[13:20.64]  glass
[13:20.80]  of
[13:21.02]  anything
[13:21.42]  to
[13:21.80]  flush
[13:22.04]  you,
[13:22.64]  it
[13:22.86]  will
[13:23.12]  not
[13:23.30]  work
[13:23.56]  in
[13:23.74]  3
[13:23.94]  days,
[13:24.58]  if
[13:24.78]  you
[13:25.00]  quit
[13:25.12]  before
[13:25.50]  4
[13:25.76]  weeks
[13:26.08]  you'll
[13:26.46]  feel
[13:26.70]  cheated,
[13:27.50]  and
[13:27.68]  it'll
[13:27.92]  be
[13:28.08]  because
[13:28.36]  you
[13:28.62]  quit,
[13:29.14]  not
[13:29.38]  because
[13:29.68]  it
[13:29.96]  failed,
[13:30.72]  and
[13:30.92]  it
[13:31.10]  is
[13:31.28]  not
[13:31.56]  automatically
[13:32.20]  for
[13:32.56]  every
[13:32.94]  single
[13:33.28]  person.
[13:34.32]  Rosemary
[13:34.70]  is
[13:35.04]  food,
[13:35.62]  but
[13:35.80]  a
[13:36.04]  strong
[13:36.24]  daily
[13:36.56]  infusion
[13:37.06]  is
[13:37.34]  more
[13:37.60]  concentrated
[13:38.24]  than
[13:38.54]  a
[13:38.78]  sprig
[13:38.98]  on
[13:39.16]  your
[13:39.36]  potatoes,
[13:40.40]  so,
[13:40.92]  and
[13:41.10]  I
[13:41.24]  mean
[13:41.40]  this
[13:41.70]  plainly,
[13:42.46]  if
[13:42.62]  you're
[13:42.86]  pregnant
[13:43.36]  or
[13:43.84]  you're
[13:44.10]  on
[13:44.22]  regular
[13:44.60]  medication,
[13:45.26]  especially
[13:46.08]  a
[13:46.40]  blood
[13:46.58]  thinner,
[13:47.24]  just
[13:47.56]  run
[13:47.74]  it
[13:47.96]  past
[13:48.14]  your
[13:48.36]  own
[13:48.54]  doctor
[13:48.88]  first.
[13:49.44]  Not
[13:49.68]  because
[13:49.98]  it's
[13:50.22]  dangerous,
[13:51.14]  because
[13:51.40]  check
[13:51.64]  first
[13:52.04]  is
[13:52.28]  what
[13:52.46]  an
[13:52.84]  honest
[13:53.06]  one
[13:53.28]  tells
[13:53.56]  you.
[13:54.36]  And
[13:54.60]  test
[13:54.76]  yourself
[13:55.18]  gently,
[13:56.12]  start
[13:56.36]  with
[13:56.58]  a
[13:56.84]  smaller,
[13:57.24]  weaker
[13:57.56]  glass
[13:57.86]  for
[13:58.14]  the
[13:58.30]  first
[13:58.48]  few
[13:58.66]  days,
[13:59.40]  and
[13:59.60]  make
[13:59.74]  sure
[13:59.94]  it
[14:00.08]  sits
[14:00.30]  well
[14:00.56]  with
[14:00.80]  you,
[14:01.34]  and
[14:01.54]  it
[14:01.72]  does
[14:01.94]  nothing,
[14:02.66]  nothing,
[14:03.58]  against
[14:03.82]  sun
[14:04.06]  you
